question,expected_fields
How is the cost of goods sold for Salesforce affecting their revenue?.,['stock_data.cogs']
Could you tell me about Merck's EBITDA and how it relates to its net income?.,['stock_data.ebitda']
Can you tell me the high price of General Electric today?.,['stock_data.price_intraday_high']
What's the scoop on the oil industry these days? Any juicy news articles to share?,['news_data_source']
Can you please tell me the latest information about the stock market?,['external_data_source']
What is happening in the news today?.,['news_data_source']
Is it really true that the health care sector is not included in the S&P General Industry Classification?.,['market_data.Health_Care']
Have you heard any juicy gossip about Amazon recently?.,['news_data_source']
What is the everyday profit of the S&P General Industry Classification Utilities Sector Index?.,['market_data.Utilities']
Can you give me some information on the performance of the S&P 500 Composite in the last year?.,"['external_data_source', 'market_data.S&P500']"
"In 2022, did T-Mobile US actually have negative growth in share value?.",['stock_data.total_return']
What are the expenses for research and development for Adobe and what is their cost of goods sold?.,"['stock_data.research_and_development', 'stock_data.cogs']"
Can you tell me more about Oracle?,['stock_data.company_name']
Can you tell me more about Amazon's cost of goods sold?.,['stock_data.cogs']
How does Adobe make money through interest that doesn't come from their main operations?.,['stock_data.interest_income_not_banks']
What was the latest boring headline about inflation?.,['news_data_source']
Is Pfizer's market value higher than its enterprise value?.,"['stock_data.enterprise_value', 'stock_data.market_capitalization']"
What was the performance of the S&P financials sector last week?,['market_data.Financials']
What's the Cost Of Goods Sold for Home Depot?.,['stock_data.cogs']
What's Mastercard's shareholders' equity compared to other companies in the financial sector?,['stock_data.shareholders_equity']
What's the latest news on Apple?.,['news_data_source']
Are there some news articles about Philip Morris that have been published recently?,['news_data_source']
Can you explain how the Consumer Confidence Index is calculated?,['economic_indicators.consumer_confidence']
"So on the day it reached its highest intraday price, how many employees did Chevron have?.","['stock_data.employees', 'stock_data.price_intraday_high']"
What the current unemployment rate in the United States is?.,['economic_indicators.unemployment_rate']
Can you tell me specifically about Bank of America's operating income and EBITDA?,"['stock_data.operating_income', 'stock_data.ebitda']"
"Let's take a look at Proctor & Gamble. According to the GICS classification, what sector does it belong to?.",['stock_data.general_industry_classification']
"Comparing Boeing's current stock price to its total liabilities, how does it stack up?.","['stock_data.liabilities_total', 'stock_data.price_close']"
What is the return on a daily basis for the S&P Industrials index?.,['market_data.Industrials']
How did the S&P 500 Composite do yesterday?.,['market_data.S&P500']
Does Costco allocate more funds towards research and development or long term debt?.,"['stock_data.long_term_debt', 'stock_data.research_and_development']"
Can you tell me which penny stocks are currently being traded the most?,['external_data_source']
Which damn company has the longest inventory days held?.,['stock_data.inventories_days_held']
Can you tell me the difference between the S&P General Industry Classification Energy Sector Index and the S&P General Industry Classification Consumer Discretionary Sector Index?.,"['market_data.Energy', 'market_data.Consumer_Disc']"
Can you tell me about the relationship between GDP and industrial production?.,"['economic_indicators.gdp', 'economic_indicators.industrial_production']"
Could you tell me about the most popular stocks on social media right now?.,['external_data_source']
Could you tell me about news articles that have been released regarding Home Depot?.,['news_data_source']
Have you heard any recent updates about Tesla?,['news_data_source']
What's going on with Apple these days?,['news_data_source']
Can someone tell me how the utilities sector did in the S&P 500 yesterday?.,['market_data.Utilities']
How does the GDP price index compare to the yield of the 10 year treasury bond?,"['economic_indicators.10Y_ust_yield', 'economic_indicators.personal_consumption_expenditure']"
What's up with the difference between Bank of America's net interest income and today's lowest price?.,"['stock_data.interest_income', 'stock_data.price_intraday_low']"
Could you tell me about Philip Morris' revenue breakdown? I'm curious about the percentage that comes from COGS..,['stock_data.cogs']
How much debt does Microsoft have?.,['stock_data.liabilities_total']
Could you tell me the percentage of current price that Apple spends on operating expenses?,"['stock_data.price_close', 'stock_data.operating_expense']"
Could you help me find the projected earnings per share for Salesforce over the next 12 months?,['stock_data.eps_forward_12_month']
How is the S&P 500 consumer discretionary sector index related to the GDP price index?,"['market_data.Consumer_Disc', 'economic_indicators.personal_consumption_expenditure']"
What is the relationship between the leading economic index and inflation?,"['economic_indicators.cpi', 'economic_indicators.conf_board_leading_indicators']"
What is Cisco's EPS for the past 12 months?.,['stock_data.eps_trailing_12_month']
"What is the amount of Apple's shareholders' equity, mate?.",['stock_data.shareholders_equity']
Can you tell me about McDonald's? I'm curious about its industry and number of employees..,"['stock_data.employees', 'stock_data.general_industry_classification']"
Can you tell me what Johnson & Johnson's revenue was last year?,['stock_data.sales_or_revenues']
"Hey buddy, can you explain the difference between T-Mobile US's cost of goods sold and net interest income?.","['stock_data.cogs', 'stock_data.interest_income']"
Could you give me some insights on how the consumer discretionary sector compares to GDP performance?,"['economic_indicators.gdp', 'market_data.Consumer_Disc']"
"Hey mate, can you tell me when is the next ex-dividend date for Bank of America?.",['stock_data.date_ex_dividend']
Do you think the S&P General Industry Classification Consumer Discretionary Sector Index is related to the CPI for all urban items?.,"['market_data.Consumer_Disc', 'economic_indicators.cpi']"
What's up with Apple these days?,['news_data_source']
Are there any recent updates or happenings that could potentially affect the stock market as a whole?.,['external_data_source']
Can you tell me the highest stock price for the day of IBM?.,['stock_data.price_intraday_high']
Could you tell me the difference between Intuit's operating income and its lowest stock price today?,"['stock_data.operating_income', 'stock_data.price_intraday_low']"
Can you tell me about Berkshire Hathaway's EBITDA and how it affects their dividend payments?.,"['stock_data.ebitda', 'stock_data.date_ex_dividend']"
What is the yield of the USA 10-year Government Benchmark bond right now and how does it impact the S&P General Industry Classification Energy Sector Index?,"['market_data.Energy', 'economic_indicators.10Y_ust_yield']"
I'm curious about the relationship between the ISM manufacturing index and the S&P industrials sector index. Can you provide any insights?.,"['economic_indicators.ism_mfg', 'market_data.Industrials']"
Can you tell me the enterprise value per outstanding share of Adobe?.,"['stock_data.common_shares_outstanding', 'stock_data.enterprise_value']"
Can you tell me the leading economic index for the year 2016?.,['economic_indicators.conf_board_leading_indicators']
Can you tell me the dividend yield of General Electric and how it relates to its total assets?.,"['stock_data.dividend_yield', 'stock_data.assets_total']"
Is there a correlation between the ISM Purchasing Managers Index (MFG Survey) and the GDP in the United States?,"['economic_indicators.ism_mfg', 'economic_indicators.gdp']"
Let's take a look at the correlation between the ISM manufacturing index and the S&P industrials sector index. How do these two factors relate to each other?.,"['economic_indicators.ism_mfg', 'market_data.Industrials']"
Can you tell me how many days of inventory Merck held during the year with the lowest number of common shares outstanding?,"['stock_data.common_shares_outstanding', 'stock_data.inventories_days_held']"
"Does Exxon Mobil, like, spend a lot on R&D? Wait, do they even have a lot of assets?","['stock_data.research_and_development', 'stock_data.assets_total']"
How many shares of AMD are floating around right now?.,['stock_data.common_shares_outstanding']
How has the stock market been doing and how does the performance of the materials sector compare to it?.,"['market_data.Materials', 'market_data.S&P500']"
Do you know the current value of the Consumer Discretionary Sector Index?.,['market_data.Consumer_Disc']
"What's the unemployment rate in the US right now, and like, what's the value of the leading economic indicators thing?","['economic_indicators.unemployment_rate', 'economic_indicators.conf_board_leading_indicators']"
Can you tell me about Oracle's operating expenses and how they compare to the total return index?,"['stock_data.total_return', 'stock_data.operating_expense']"
How does the S&P 500 Consumer Discretionary Sector Index stack up against the ISM Manufacturing Index?,"['market_data.Consumer_Disc', 'economic_indicators.ism_mfg']"
Did you know what the high price was for General Electric today?.,['stock_data.price_intraday_high']
How many days does Microsoft usually hold inventory for?,['stock_data.inventories_days_held']
Could you tell me the latest ISM Manufacturing Index available?.,['economic_indicators.ism_mfg']
What is the current stock price of Berkshire Hathaway? And how much are their total operating expenses?.,"['stock_data.price_close', 'stock_data.operating_expense']"
Can you tell me which company JPMorgan is a part of?.,['stock_data.company_name']
Can you tell me the book value per share of McDonald's compared to the lowest price it reached during the trading day?.,"['stock_data.bps_book_value_per_share', 'stock_data.price_intraday_low']"
Can you tell me the relationship between the S&P 500 Financials Sector Index and the Leading Economic Indicator?.,"['economic_indicators.conf_board_leading_indicators', 'market_data.Financials']"
Does the way people feel about the economy in the US affect how well the utilities sector does?,"['market_data.Utilities', 'economic_indicators.consumer_confidence']"
"Do you know which sector did better last month, Consumer Staples or Materials?","['market_data.Consumer_Staples', 'market_data.Materials']"
Can you tell me the exact amount Costco spent on R&D on the day their stock price reached its peak?,"['stock_data.price_intraday_high', 'stock_data.research_and_development']"
Which company between Philip Morris and Altria has a lower intraday low price and higher non-operating interest income?.,"['stock_data.price_intraday_low', 'stock_data.interest_income_not_banks']"
Can you tell me about the relationship between the 10 year treasury bond yield and consumer confidence?.,"['economic_indicators.10Y_ust_yield', 'economic_indicators.consumer_confidence']"
Can you tell me which company has a higher amount of long term debt compared to the number of days their inventory is held for?.,"['stock_data.inventories_days_held', 'stock_data.long_term_debt']"
Could you tell me what the EBITDA to total assets ratio for JPMorgan Chase is?.,"['stock_data.ebitda', 'stock_data.assets_total']"
"Which sector had the higher index value, Materials or Information Technology?.","['market_data.Materials', 'market_data.IT']"
Did the ISM manufacturing index and the S&P 500 both move up or down today?.,"['economic_indicators.ism_mfg', 'market_data.S&P500']"
What is the low trading price compared to McDonald's book value per share on that day?.,"['stock_data.bps_book_value_per_share', 'stock_data.price_intraday_low']"
Can you tell me how much of Salesforce's stock price is made up of its operating expenses?.,"['stock_data.operating_expense', 'stock_data.price_close']"
What are some variables that may affect a company's stock value in the near future?.,['external_data_source']
What is the enterprise value of Walmart and how many of its common shares are currently outstanding?.,"['stock_data.common_shares_outstanding', 'stock_data.enterprise_value']"
Do you know how much Cisco spends on the cost of goods sold in relation to their shareholder's equity?.,"['stock_data.shareholders_equity', 'stock_data.cogs']"
Do you know which company is called BAC?,['stock_data.company_name']
"Can we find out which company has had more news coverage in the last 3 months, Apple or Microsoft?",['news_data_source']
