question,expected_fields
"Why even bother asking about the GDP? It's based on so many factors, it's impossible to pinpoint one specific thing.",['economic_indicators.personal_consumption_expenditure']
"I'm curious, do you want to know more about what people are saying about Tesla on social media?",['external_data_source']
Can you believe that JPMorgan Chase has more non-operating interest income than long-term debt? What a crazy difference. How does that even happen?,"['stock_data.interest_income_not_banks', 'stock_data.long_term_debt']"
Can you explain the relationship between the ISM manufacturing index and leading economic indicators?.,"['economic_indicators.conf_board_leading_indicators', 'economic_indicators.ism_mfg']"
Could you tell me how PepsiCo's P/E ratio compares to their net sales?.,"['stock_data.sales_or_revenues', 'stock_data.ratio_pe']"
"Come on buddy, what is the revenue of Nvidia, you know?.",['stock_data.sales_or_revenues']
"I mean, can you just tell me what's the latest gossip about that company? Like, what are people talking about in the news?.",['news_data_source']
"Oh God obviously, I'm asking for the stock price of General Electric today. What is the lowest price it has reached?.",['stock_data.price_intraday_low']
"Can you tell me about Visa's financials? Specifically, I am interested in their dividend yield and how it compares to their market capitalization..","['stock_data.market_capitalization', 'stock_data.dividend_yield']"
"Oh God, I have no idea what the current liabilities of Johnson & Johnson are. Can you please tell me?.",['stock_data.liabilities_short_term']
Can you please explain Pfizer's net interest income and how it relates to their financial performance?,['stock_data.interest_income']
What is the industry that McDonald's falls under and how many outstanding common shares does it have? .,"['stock_data.general_industry_classification', 'stock_data.common_shares_outstanding']"
Can you tell me about the current updates on industrial production? I'm curious to know the latest developments.,"['economic_indicators.industrial_production', 'news_data_source']"
Could you tell me the market capitalization of the company with the lowest intraday low?.,"['stock_data.price_intraday_low', 'stock_data.market_capitalization']"
Do you happen to know if there are any rumors or speculations going around that could potentially affect the stock market and prices?,['external_data_source']
I don't know for sure. Does Comcast have a lot of debt that they owe for a long time?.,['stock_data.long_term_debt']
"Basically, how does Mastercard's earnings per share stack up against its overall liabilities, mate?.","['stock_data.eps_trailing_12_month', 'stock_data.liabilities_total']"
"I'm not sure, but I can try to find out for you. It looks like Chevron's price-earnings ratio is currently higher than their earnings per share for the past 12 months. Would you like me to find out the exact numbers?.","['stock_data.ratio_pe', 'stock_data.eps_trailing_12_month']"
"Oh please, are you seriously asking about the difference between T-Mobile US's cost of goods sold and net interest income? It's so basic, anyone should know that. .","['stock_data.cogs', 'stock_data.interest_income']"
Could you tell me how the materials sector has been doing in relation to the rest of the stock market?,"['market_data.Materials', 'market_data.S&P500']"
"How much money does Philip Morris make from their cost of goods sold, you know mate?.",['stock_data.cogs']
Can you give me some information on the performance of the Industrials sector compared to other sectors? Thanks..,['market_data.Industrials']
Is Pfizer's total current liabilities decreasing or increasing?,['stock_data.liabilities_short_term']
"I'm sorry, but I don't think there is any correlation between the ISM non-manufacturing survey index and news sentiment. I mean, come on, they are completely unrelated.","['economic_indicators.ism_non_mfg', 'news_data_source']"
"Err, I don't know mate. Does McDonald's spend more on their expenses for selling and general stuff, than they give out in dividends?","['stock_data.operating_expense_sg&a', 'stock_data.dividend_yield']"
"Oh come on, do I have to do all the work for you? Just search for some news articles about Apple yourself, lazy.",['news_data_source']
"Can you tell me about Home Depot's financial situation? Specifically, how much long-term debt do they have?.",['stock_data.long_term_debt']
"How much does General Electric make in operating income, you know?.",['stock_data.operating_income']
"Seriously, can you tell me how many employees Mastercard has and what the hell is their total liabilities?.","['stock_data.liabilities_total', 'stock_data.employees']"
"What's the deal with Tesla's total return index and the number of employees they have? Are they connected in any way, pal?.","['stock_data.total_return', 'stock_data.employees']"
"I'm not sure, but have you heard about the merger between Disney and Fox? It seems to be a hot topic in the news lately.",['news_data_source']
"Ugh, I mean, who even cares about Apple news from the past week? But fine, here are the top 3 stories about them.",['news_data_source']
Can you tell me the book value per share of Philip Morris divided by its total liabilities?.,"['stock_data.liabilities_total', 'stock_data.bps_book_value_per_share']"
Can you tell me what is taken into account for the Consumer Price Index (CPI)?.,['economic_indicators.cpi']
Can you tell me the ticker symbol for the company with the highest current liabilities? It would be great if you could give me some info. .,"['stock_data.ticker_symbol', 'stock_data.liabilities_short_term']"
Why do you even care about the oil industry? Can't you find something more interesting to read about?.,['news_data_source']
Can you tell me how the GDP price index compares to the unemployment rate mate?,"['economic_indicators.unemployment_rate', 'economic_indicators.personal_consumption_expenditure']"
Can you recommend any interesting blog posts about the future outlook of a particular technology company?.,['external_data_source']
"So, what is the estimated earnings per share for the next 12 months?.",['stock_data.eps_forward_12_month']
"Last year, which sector had a higher performance, the financials or the real estate sector?.","['market_data.Financials', 'market_data.Real_Estate']"
