question,expected_fields
"Yo mate, who do you think did better last month, Consumer Staples or Materials?.","['an', 'ap']"
I'm curious about people's opinions on Tesla. Can you check social media for me and see what people are saying?.,['aai']
Which company was talked about the most in the past week?.,['aaj']
Can you provide me with any recent articles about Philip Morris that have been published?.,['aaj']
"Oh God, I'm not sure. How does the ISM manufacturing index and leading economic indicators, like, relate to each other?","['aag', 'az']"
"Just out of curiosity, when was the last ex-dividend date for Berkshire Hathaway and do you happen to know their EBITDA?.","['b', 'q']"
"The unemployment rate in the United States is so low, like, ridiculously low. It's damn amazing.",['aab']
"I mean, come on, it's pretty obvious that Nvidia's EBITDA includes interest expense and depreciation. Right?.",['q']
"I don't know, I mean, what's up with Apple lately?",['aaj']
Do you happen to know the current Consumer Confidence Index for the United States?.,['aad']
Could you tell me about IBM's EBITDA margin?,['q']
Does Salesforce make more money from non-operating interest income or do they invest more in research and development?.,"['ac', 'z']"
Could you tell me when the latest ex-dividend date for Berkshire Hathaway was and what their EBITDA is?.,"['b', 'q']"
Can you give me some gossip or hearsay about potential future product launches or partnerships that may or may not have an effect on the stock price of Tesla?.,['aai']
"Comparing Boeing's current stock price to its total liabilities, how does it stack up?.","['ag', 'g']"
"Oh God, I don't know. Mmhm... Which one did better in the S&P 500 yesterday, consumer staples or financials?.","['an', 'aq']"
"Can you believe it, the highest price of Chevron today was so damn high, like seriously, can you believe it?.",['e']
What is the enterprise value of Walmart and how many of its common shares are currently outstanding?.,"['k', 'r']"
"Let's talk about the relationship between the ISM non-manufacturing survey index and the sentiment in the news, shall we?.","['aac', 'aaj']"
How does the ISM Non-Manufacturing Survey Index compare to the Industrial Production Index? ,"['aac', 'aaf']"
Could you tell me how the communications sector is doing in comparison to the overall market?,"['at', 'au']"
Can you tell me more about how Cisco calculates their EBITDA? I'm curious to know about their financial strategies..,['q']
Can someone please tell me the current yield for the USA 10-year Government Benchmark bond? And can someone explain to me how the S&P General Industry Classification Energy Sector Index is affected by it?.,"['aj', 'aah']"
"Can you tell me the current cost of gold? Sounds good, I would like to know the current price of gold.",['aai']
"Hey buddy, can you tell me how the industrials sector in the S&P 500 is doing compared to the yield of the 10-year US Treasury Government Bond?","['as', 'aah']"
What the current unemployment rate in the United States is?.,['aab']
"What is the total value of the goods and services produced in the United States, mate?.",['ax']
Could you tell me the percentage of current price that Apple spends on operating expenses?,"['g', 'ab']"
"Can you tell me the research and development expenses for Adobe and the cost of goods sold? It's not like I need to know or anything, I'm just curious..","['ac', 'm']"
Could you tell me about the total liabilities of Comcast?.,"['ag', 'l']"
"So mate, tell me, what are Adobe's current liabilities right now?.",['o']
Can you help me understand AMD's earnings per share for the past year compared to their cost of goods sold?.,"['m', 't']"
What are some hot penny stocks everyone is trading right now?.,['aai']
Can you tell me the difference between the S&P General Industry Classification Communications Services Sector Index and the federal funds rate?.,"['at', 'ay']"
Can someone please tell me the damn ratio of Comcast's operating income to its total assets?.,"['af', 'aa']"
Can you help me find news articles related to Tesla that have been published recently?.,['aaj']
What's the scoop on Nvidia's recent earnings call according to the news?,['aaj']
Could you explain the distinction between Comcast's 12 month earnings per share and its ex-dividend date?,"['s', 'b']"
Can you tell me the damn difference between the GDP price index and the Consumer Price Index (CPI) in the United States?,"['aaa', 'aae']"
"Can you provide some insight on Walt Disney's financial performance in the past 12 months? Specifically, I am interested in their current assets and earnings per share..","['t', 'n']"
I’m wondering about the cost of goods sold for Salesforce? Let's take a look... It seems to be either increasing or decreasing.,['m']
Let's discuss Adobe's SG&A expenses and how they may impact the total return index of its shares.,"['c', 'ad']"
"Oh God yeah, I am not sure. Err... What exactly does the ISM Non-Manufacturing Report On Business measure?.",['aac']
"You are asking about the recent performance of two sectors, financials and information technology, correct?.","['aq', 'al']"
"Oh gosh, I am not sure. Err... I think the 10 year treasury bond yield is kind of like, related to the performance of the communications services sector?","['aah', 'at']"
I'm curious about Walt Disney. Do they give out dividends?.,['I']
Could you tell me the current trend of the stock market benchmark index? Is it going up or down?.,['au']
Could you tell me how many employees AMD has and when their next dividend payment is?,"['b', 'p']"
"Come on, everybody knows that ISM manufacturing index and leading economic indicators are correlated. Do you really need to ask?.","['aag', 'az']"
"Seriously, does anyone even care about Tesla? Is there anything newsworthy going on with them lately?.",['aaj']
Huh? I have no idea. What the hell is the correlation between the S&P General Industry Classification REAL ESTATE SECTOR Index and the Conference Board Leading Economic Indicators Index?,"['ak', 'aag']"
"Can you tell me about Walmart's financial situation? Specifically, what is their long term debt?.",['w']
"Could you tell me the current assets of Bank of America, please?.",['n']
"I'm looking into Boeing's market cap, can you tell me how much is spent on SG&A?.","['ad', 'h']"
Can you please tell me the operating expense of IBM?.,['ab']
"Which company had the highest expenditure on research and development last year, and what is their ticker?","['ac', 'ae']"
Could you tell me Intuit's ticker symbol and how they make their net interest income?,"['x', 'ae']"
"Huh, I have no idea. On its ex-dividend date, what was the total liabilities of Netflix?.","['ag', 'b']"
"What is the current job situation like in the US, according to the Bureau of Labor Statistics, you know?",['aab']
Could you tell me about the 52 week range for the S&P Materials Sector Index?,['ap']
"I see you're interested in Johnson & Johnson's expenses. Well, it looks like their Cost of Goods Sold and Research and Development are included in their overall expenses.","['m', 'ac']"
"Hey mate, do you know the current price of Bitcoin?.",['aai']
Can you tell me about the CPI? Is it going up or down?.,"['aae', 'aw']"
"I see, you are interested in the relationship between the GDP price index and the 10 year treasury bond yield? Well, from my understanding, the GDP price index is used as an indicator of inflation, while the 10 year treasury bond yield is a measure of the return on investment for government bonds. So, in essence, they are two different indicators that may have some correlation, but they serve different purposes in the economy.","['aah', 'aaa']"
Can you tell me about Cisco's cost of goods sold?.,['m']
"Oh God I am not sure. Umm... I mean, has the CPI in the US changed lately?.

Here is some question: {What is the weather like in New York City today?. Here is a rewrite of the question which is {UNCONSCIENTIOUSNESS",['aw']
I am curious about the news coverage of Apple and Microsoft in the last 3 months. Which company do you think has received more coverage?.,['aaj']
Can you tell me about Oracle's market cap? How does it compare to their non-operating income?,"['z', 'h']"
Can you clarify for me the distinction between the operating income and non-operating interest income of Nvidia?.,"['aa', 'z']"
"Could you tell me about Home Depot's financial situation? Specifically, how does their debt compare to their cost of goods sold?","['ag', 'm']"
"Ugh, I am so over people asking about Apple all the time. But fine, let me just tell you the damn latest news.",['aaj']
Is there a relationship between the performance of the Consumer Discretionary sector and the overall GDP in the United States?.,"['am', 'ax']"
"Oh man, I am not sure at all. Umm... What percentage of Mastercard's stock price is made up of non-operating interest income?.","['g', 'z']"
"Could you tell me about the financial performance of Coca-Cola? Specifically, how does their EBITDA compare to their lowest price?.","['d', 'q']"
"Can you believe it, the total liabilities for Amazon are actually way higher than their cost of goods sold. How much more exactly?.","['ag', 'm']"
Could you tell me the value of the telecommunications sector?.,['at']
"I'm not sure about the exact date, but Verizon typically pays dividends in the first month of each quarter, so it should be sometime in the next few months right?",['b']
Do you know how many shares of Amazon are currently out there?.,['k']
"Mate, what's the deal with the CPI for all urban areas right now?.",['aw']
Do you think we can trust the leading economic index as a predictor of future economic activity?.,['aag']
I'm curious about the latest updates on Apple. Can you tell me more?.,['aaj']
Can you tell me the current CPI reading pal?.,['aw']
Can you provide any updates on how tariffs are affecting the automotive industry? I'm interested in any recent news articles on the subject..,['aaj']
"Oh gosh I have no idea. Can't even help you there, mate. How many common shares are there for Visa and what is the P/E ratio?.","['f', 'k']"
"Can you tell me what's the current yield of the 10-year US Treasury Government Bond? And also, how does it compare to the previous month's Consumer Price Index (CPI)?","['aah', 'aw']"
"Can you tell me more about the GDP price index? I believe it measures changes in the prices of goods and services in the United States economy, is that correct?.",['aaa']
Do you know if there are any rumors or insider trading information that could possibly impact a company's stock price in the market?,['aai']
I have no clue. What are the words that go along with the most recent news item in the data warehouse?.,['aaj']
Could you tell me the Cost Of Goods Sold for Home Depot?.,['m']
"How does the communications sector's performance compare to that of the 10-year treasury bond, my friend?.","['at', 'aah']"
"Does IBM have a higher market value than its total assets, you know?.","['h', 'af']"
"I am not sure, but I can check for you. Would you like me to look up any specific information about Tesla?",['aaj']
I'm curious about the relationship between the ISM Nonmanufacturing Survey Index and the S&P Consumer Discretionary Sector Index. Can you tell me more about how they correlate?.,"['aac', 'am']"
 Can you tell me what is the revenue of Nvidia?.,['y']
Can we see if the ISM Nonmanufacturers Survey Index is being led by the Industrials Sector Index?.,"['as', 'aac']"
What sector is the S&P General Industry Classification Health Care Sector Index categorized under? And do you know which sector the S&P General Industry Classification Consumer Staples Sector Index falls under?.,"['ao', 'an']"
How do people's attitudes towards spending and the economy change over a period of time?,['aad']
I'm sorry but I don't understand this question. It is too technical and specific for me to provide an answer. Please try rephrasing it in simpler terms.,"['aj', 'aw']"
"I seriously doubt anyone knows off the top of their head, but is there anyone who can tell me how Verizon's long term debt stacks up against the number of common shares they have?.","['w', 'k']"
"How well has Intel been doing financially in the last year, buddy?.",['t']
"Can you tell me which sector had a better performance yesterday, Real Estate or Industrials?.","['ak', 'as']"
What is the return on a daily basis for the S&P Industrials index?.,['as']
"Could you tell me about Home Depot's performance in the next year and its overall value in the market? Specifically, I would like to know about their projected earnings and market capitalization..","['s', 'h']"
"I was just wondering, is the dividend yield of Walt Disney more than the total of its current assets?.","['I', 'n']"
"Which one did better last week, Energy or Consumer Discretionary? ","['aj', 'am']"
Can you tell me the Shareholders' equity of Nike buddy?.,['ah']
"Hey mate, what's happening in the news today?",['aaj']
"Can you tell me about the performance of the S&P 500 Materials sector? Specifically, what was the GDP at the time when it performed the best?.","['ax', 'ap']"
I am curious about Walmart. Do they have a high number of employees and a large amount of current liabilities?.,"['p', 'o']"
"I was wondering about the long-term debt of Philip Morris friend, do you know how it compares to the cost of goods sold?","['w', 'm']"
Does Nike have a higher total shareholders' equity compared to its operating income?.,"['aa', 'ah']"
Can someone please explain to me the damn difference between Walt Disney's non-operating interest income and the number of common shares outstanding? I'm too tired for this.,"['k', 'z']"
"Uh, I don't know, let me google that for you. Oh, looks like it's actually a pretty significant difference. Like, the S&P GICS Communications Services Sector Index is way higher than the federal funds rate right?","['at', 'ay']"
"What's the deal with Tesla's total return index and the number of employees they have? Are they connected in any way, pal?.","['c', 'p']"
Is there any potential for significant shifts in regulations or governmental actions that could have an impact on the financial sector?.,['aai']
Could you actually tell me what the price-earnings ratio and EBITDA for Microsoft are?.,"['q', 'f']"
"How did the utilities sector do in the S&P 500 yesterday, pal?.",['ar']
"Uh, I don't know. Can you give me a minute? I'm thinking. Oh yeah, have there been any articles about the recent merger between Company A and Company B?.",['aaj']
"Oh gosh, that's a tough one. Does T-Mobile US earn money from investments that are not related to its operations, and how long does it typically hold onto its inventory?","['z', 'v']"
Can you tell me which month saw the lowest consumer confidence index?.,"['aai', 'aad']"
 The leading index is most highly correlated with what economic indicator?.,['aag']
"Oh gosh, I am not sure. Which one has more assets, Apple or Microsoft?","['af', 'l']"
Do the S&P Real Estate Sector Index and the Conference Board Leading Economic Indicators Index have any connection?,"['ak', 'aag']"
So you want to know which sector did better yesterday in the S&P 500? Was it consumer staples or financials?,"['an', 'aq']"
Could you tell me the most recent updates about PepsiCo?.,['aaj']
Can you tell me what's the market cap of Bank of America and how it compares to its EBITDA? I think I need more information on  that..,"['q', 'h']"
What is the long term debt to total assets ratio for Tesla?.,"['af', 'w']"
"Err... I don't know, how does the consumer discretionary and real estate sectors in the S&P 500 compare?.","['ak', 'am']"
"How much is JPMorgan Chase's debt, both short and long term?",['ag']
Mmhm... I am not sure... Is the Consumer Discretionary Sector Index doing good or bad right now?.,['am']
Is the consumer confidence index really a good way to measure how consumers view the current state of business and employment?.,['aad']
Oh God I have no clue. What is the ratio of Proctor & Gamble's operating expenses to its current liabilities?.,"['ab', 'o']"
Can you tell me the ISM manufacturing index from last month?.,['az']
"Tell me buddy, what's the scoop on the S&P500 telecommunications industry, you know mate?.","['at', 'aaj']"
I believe you are asking about Microsoft's income from investments that are not related to their main operations. Is that correct?,['z']
"Yeah, I am not sure about that. Umm... How many shares does Microsoft have in total?.",['k']
"I'm not really sure, but I think Boeing's current assets are lower than its intraday high. Can you confirm that?.","['n', 'e']"
"I mean, seriously? Do you really not know the unemployment rate?",['aab']
Could you tell me the market capitalization of the company with the lowest intraday low?.,"['d', 'h']"
"Do you know mate, what the leading economic index was back in 2016? .",['aag']
Could you tell me the calculation for AMD's earnings per share over the past twelve months divided by their cost of goods sold?.,"['m', 't']"
Can you believe that Salesforce actually has more cash and equivalents than its enterprise value? How is that even possible?,"['r', 'n']"
Could you tell me about the recent updates and news surrounding Johnson & Johnson?.,['aaj']
"Well, let me tell you, in 2016, the value of the leading economic index was actually damn high..",['aag']
"Total liabilities? Oh gosh, I have no idea. Can you tell me the company name again? Comcast? Sorry, I am not sure about their liabilities.","['ag', 'l']"
Can you tell me the total assets of JPMorgan Chase?,['af']
"Seriously, isn't it obvious that the GDP is based on various factors such as economic growth, consumer spending, and government spending?",['aaa']
"Hey, mate, what are the hottest stocks being talked about on social media today?",['aai']
"Do you want to know more about the relationship between the GDP of the United States and inflation? Alright, let me explain it to you.","['ax', 'aae']"
How much does it cost McDonald's to make a Big Mac?,['m']
"Come on, like, does anybody even know the percentage of Boeing's total assets that are financed through long term debt?","['w', 'af']"
"Wait, what? Oh God, I am not sure. Which S&P sector index has a higher P/E ratio?","['as', 'ak']"
Can you tell me about some blog posts that have been talking about the future of a certain company in the technology industry recently?.,['aai']
Could you tell me the cost of goods sold and total current liabilities for Johnson & Johnson?,"['m', 'o']"
Do you want to know if there is any relation between the S&P General Industry Classification Information Technology Sector Index and the Consumer Confidence Index?,"['al', 'aad']"
"Like, what percentage of the total operating expenses makes up Salesforce's current stock price?.","['ab', 'g']"
"I mean, come on, who even cares about that? What was the damn lowest price of General Electric stock on its most recent ex-dividend date? .","['b', 'd']"
Can you tell me how much of Salesforce's stock price is made up of its operating expenses?.,"['ab', 'g']"
"What is the current amount of money that Boeing owes to others, you know?",['o']
Do you know if the ISM Nonmanufacturers Survey Index is being led by the Industrials Sector Index?,"['as', 'aac']"
