question,expected_fields
How is the cost of goods sold for Salesforce affecting their revenue?.,['m']
Could you tell me about Merck's EBITDA and how it relates to its net income?.,['q']
Can you tell me the high price of General Electric today?.,['e']
What's the scoop on the oil industry these days? Any juicy news articles to share?,['aaj']
Can you please tell me the latest information about the stock market?,['aai']
What is happening in the news today?.,['aaj']
Is it really true that the health care sector is not included in the S&P General Industry Classification?.,['ao']
Have you heard any juicy gossip about Amazon recently?.,['aaj']
What is the everyday profit of the S&P General Industry Classification Utilities Sector Index?.,['ar']
Can you give me some information on the performance of the S&P 500 Composite in the last year?.,"['aai', 'au']"
"In 2022, did T-Mobile US actually have negative growth in share value?.",['c']
What are the expenses for research and development for Adobe and what is their cost of goods sold?.,"['ac', 'm']"
Can you tell me more about Oracle?,['l']
Can you tell me more about Amazon's cost of goods sold?.,['m']
How does Adobe make money through interest that doesn't come from their main operations?.,['z']
What was the latest boring headline about inflation?.,['aaj']
Is Pfizer's market value higher than its enterprise value?.,"['r', 'h']"
What was the performance of the S&P financials sector last week?,['aq']
What's the Cost Of Goods Sold for Home Depot?.,['m']
What's Mastercard's shareholders' equity compared to other companies in the financial sector?,['ah']
What's the latest news on Apple?.,['aaj']
Are there some news articles about Philip Morris that have been published recently?,['aaj']
Can you explain how the Consumer Confidence Index is calculated?,['aad']
"So on the day it reached its highest intraday price, how many employees did Chevron have?.","['p', 'e']"
What the current unemployment rate in the United States is?.,['aab']
Can you tell me specifically about Bank of America's operating income and EBITDA?,"['aa', 'q']"
"Let's take a look at Proctor & Gamble. According to the GICS classification, what sector does it belong to?.",['u']
"Comparing Boeing's current stock price to its total liabilities, how does it stack up?.","['ag', 'g']"
What is the return on a daily basis for the S&P Industrials index?.,['as']
How did the S&P 500 Composite do yesterday?.,['au']
Does Costco allocate more funds towards research and development or long term debt?.,"['w', 'ac']"
Can you tell me which penny stocks are currently being traded the most?,['aai']
Which damn company has the longest inventory days held?.,['v']
Can you tell me the difference between the S&P General Industry Classification Energy Sector Index and the S&P General Industry Classification Consumer Discretionary Sector Index?.,"['aj', 'am']"
Can you tell me about the relationship between GDP and industrial production?.,"['ax', 'aaf']"
Could you tell me about the most popular stocks on social media right now?.,['aai']
Could you tell me about news articles that have been released regarding Home Depot?.,['aaj']
Have you heard any recent updates about Tesla?,['aaj']
What's going on with Apple these days?,['aaj']
Can someone tell me how the utilities sector did in the S&P 500 yesterday?.,['ar']
How does the GDP price index compare to the yield of the 10 year treasury bond?,"['aah', 'aaa']"
What's up with the difference between Bank of America's net interest income and today's lowest price?.,"['x', 'd']"
Could you tell me about Philip Morris' revenue breakdown? I'm curious about the percentage that comes from COGS..,['m']
How much debt does Microsoft have?.,['ag']
Could you tell me the percentage of current price that Apple spends on operating expenses?,"['g', 'ab']"
Could you help me find the projected earnings per share for Salesforce over the next 12 months?,['s']
How is the S&P 500 consumer discretionary sector index related to the GDP price index?,"['am', 'aaa']"
What is the relationship between the leading economic index and inflation?,"['aae', 'aag']"
What is Cisco's EPS for the past 12 months?.,['t']
"What is the amount of Apple's shareholders' equity, mate?.",['ah']
Can you tell me about McDonald's? I'm curious about its industry and number of employees..,"['p', 'u']"
Can you tell me what Johnson & Johnson's revenue was last year?,['y']
"Hey buddy, can you explain the difference between T-Mobile US's cost of goods sold and net interest income?.","['m', 'x']"
Could you give me some insights on how the consumer discretionary sector compares to GDP performance?,"['ax', 'am']"
"Hey mate, can you tell me when is the next ex-dividend date for Bank of America?.",['b']
Do you think the S&P General Industry Classification Consumer Discretionary Sector Index is related to the CPI for all urban items?.,"['am', 'aw']"
What's up with Apple these days?,['aaj']
Are there any recent updates or happenings that could potentially affect the stock market as a whole?.,['aai']
Can you tell me the highest stock price for the day of IBM?.,['e']
Could you tell me the difference between Intuit's operating income and its lowest stock price today?,"['aa', 'd']"
Can you tell me about Berkshire Hathaway's EBITDA and how it affects their dividend payments?.,"['q', 'b']"
What is the yield of the USA 10-year Government Benchmark bond right now and how does it impact the S&P General Industry Classification Energy Sector Index?,"['aj', 'aah']"
I'm curious about the relationship between the ISM manufacturing index and the S&P industrials sector index. Can you provide any insights?.,"['az', 'as']"
Can you tell me the enterprise value per outstanding share of Adobe?.,"['k', 'r']"
Can you tell me the leading economic index for the year 2016?.,['aag']
Can you tell me the dividend yield of General Electric and how it relates to its total assets?.,"['I', 'af']"
Is there a correlation between the ISM Purchasing Managers Index (MFG Survey) and the GDP in the United States?,"['az', 'ax']"
Let's take a look at the correlation between the ISM manufacturing index and the S&P industrials sector index. How do these two factors relate to each other?.,"['az', 'as']"
Can you tell me how many days of inventory Merck held during the year with the lowest number of common shares outstanding?,"['k', 'v']"
"Does Exxon Mobil, like, spend a lot on R&D? Wait, do they even have a lot of assets?","['ac', 'af']"
How many shares of AMD are floating around right now?.,['k']
How has the stock market been doing and how does the performance of the materials sector compare to it?.,"['ap', 'au']"
Do you know the current value of the Consumer Discretionary Sector Index?.,['am']
"What's the unemployment rate in the US right now, and like, what's the value of the leading economic indicators thing?","['aab', 'aag']"
Can you tell me about Oracle's operating expenses and how they compare to the total return index?,"['c', 'ab']"
How does the S&P 500 Consumer Discretionary Sector Index stack up against the ISM Manufacturing Index?,"['am', 'az']"
Did you know what the high price was for General Electric today?.,['e']
How many days does Microsoft usually hold inventory for?,['v']
Could you tell me the latest ISM Manufacturing Index available?.,['az']
What is the current stock price of Berkshire Hathaway? And how much are their total operating expenses?.,"['g', 'ab']"
Can you tell me which company JPMorgan is a part of?.,['l']
Can you tell me the book value per share of McDonald's compared to the lowest price it reached during the trading day?.,"['j', 'd']"
Can you tell me the relationship between the S&P 500 Financials Sector Index and the Leading Economic Indicator?.,"['aag', 'aq']"
Does the way people feel about the economy in the US affect how well the utilities sector does?,"['ar', 'aad']"
"Do you know which sector did better last month, Consumer Staples or Materials?","['an', 'ap']"
Can you tell me the exact amount Costco spent on R&D on the day their stock price reached its peak?,"['e', 'ac']"
Which company between Philip Morris and Altria has a lower intraday low price and higher non-operating interest income?.,"['d', 'z']"
Can you tell me about the relationship between the 10 year treasury bond yield and consumer confidence?.,"['aah', 'aad']"
Can you tell me which company has a higher amount of long term debt compared to the number of days their inventory is held for?.,"['v', 'w']"
Could you tell me what the EBITDA to total assets ratio for JPMorgan Chase is?.,"['q', 'af']"
"Which sector had the higher index value, Materials or Information Technology?.","['ap', 'al']"
Did the ISM manufacturing index and the S&P 500 both move up or down today?.,"['az', 'au']"
What is the low trading price compared to McDonald's book value per share on that day?.,"['j', 'd']"
Can you tell me how much of Salesforce's stock price is made up of its operating expenses?.,"['ab', 'g']"
What are some variables that may affect a company's stock value in the near future?.,['aai']
What is the enterprise value of Walmart and how many of its common shares are currently outstanding?.,"['k', 'r']"
Do you know how much Cisco spends on the cost of goods sold in relation to their shareholder's equity?.,"['ah', 'm']"
Do you know which company is called BAC?,['l']
"Can we find out which company has had more news coverage in the last 3 months, Apple or Microsoft?",['aaj']
Can you tell me the ticker for Philip Morris and its earnings per share for the next 12 months?.,"['ae', 's']"
"Which one did better last week, Energy or Consumer Discretionary?.","['aj', 'am']"
Can you tell me about McDonald's revenue?.,['y']
Could you tell me about T-Mobile US' current liabilities and their net sales or revenues?.,"['o', 'y']"
I am curious about the financials of Tesla. Can you tell me their operating income?.,['aa']
In what ways does the fed funds rate impact the real estate industry?.,"['ay', 'ak']"
Can you tell me the dividend yield and book value per share for Intuit?.,"['I', 'j']"
How much money does Exxon Mobil make?.,['y']
"I'm wondering, between Communication Services and Real Estate, which sector has a higher return?.","['at', 'ak']"
"What's the highest price Amazon's stock has reached in a single trading day? And, how many common shares are outstanding?.","['e', 'k']"
"Can you tell me about the financial standing of Comcast? Specifically, I am wondering if they have a lot of long-term debt..",['w']
Could you tell me about UnitedHealth's current assets and their relationship to the company's days held in inventory?,"['n', 'v']"
Could you tell me more about the future prospects of a technology company? I am particularly interested in recent blog posts or articles discussing this topic..,['aai']
Does Mastercard even invest in research and development for new products and technologies?.,['ac']
Has there been any recent news about General Electric in the past month?,['aaj']
Do you know what the latest news story about JPMorgan is?.,['aaj']
"Could you give me the earnings per share for the last year for Intuit, and do you know what their ticker symbol is?","['t', 'ae']"
What's the buzz about Tesla on social media?,['aai']
"What's the deal with Proctor and Gamble's EBITDA and its intraday low price? Like, what's the difference, you know?.","['q', 'd']"
Do you know if the ISM Nonmanufacturers Survey Index is being led by the Industrials Sector Index?,"['as', 'aac']"
When is the last time Microsoft paid out dividends and do they make money from interest that's not related to their operations?.,"['z', 'b']"
How did the Utilities Sector perform in the last 5 years?.,['ar']
"Which sector had a better performance last month, communication services or industrials?.","['as', 'at']"
"Which sector index has been sucking less? You know, between the Materials sector and the Consumer Staples sector?.","['ap', 'an']"
How much is Walt Disney investing in research and development in comparison to their total income?.,['ac']
Can you tell me which companies are listed in the S&P General Industry Classification Information Technology Sector Index?.,['al']
Do you know how they calculate the Consumer Confidence Index?,['aad']
What is T-Mobile US's return over the course of 5 years?.,['c']
Is T-Mobile US really going to see an increase in their share value in 2022?,['c']
What are some unique market insights or trends that are often overlooked by mainstream financial news outlets?.,['aai']
Could you tell me about the correlation between Tesla's EPS and their investment in R&D?.,"['s', 'ac']"
Which sector did better yesterday? Was it Real Estate or Communication Services?,"['ak', 'at']"
What is the difference between the cheapest stock price of Exxon Mobil currently and the amount it costs to make their goods?.,"['d', 'm']"
Do you have any recent news articles about their shows and movies?.,['aaj']
Can you tell me about the performance of Intuit's total return index in the past year?,['c']
Let's find out the total assets of PepsiCo. How much do you think they have?.,['af']
Can you tell me the market cap of Chevron and how it stacks up against its current liabilities?.,"['h', 'o']"
Could you tell me the Cost Of Goods Sold for Home Depot?.,['m']
Do you know how many shares of Bank of America are out there right now?.,['k']
How much does General Electric spend on operating expenses?,['ab']
Do you know what the EBITDA for Nike was in their last fiscal year?.,['q']
Could you tell me how much it costs Costco to produce or purchase their goods compared to the number of shares they have outstanding?,"['k', 'm']"
How does the S&P Materials Sector relate to CPI?,"['aw', 'ap']"
"I am curious mate, what was the highest price that T-Mobile US reached during the trading day?",['e']
"Could you tell me about Amazon? Like, how long does their inventory usually last compared to their current stock price?.","['v', 'g']"
Have you noticed any changes in the GDP price index in the United States over the last five years?,['aaa']
"What are the costs for Coca-Cola, like the expenses for running the company and the expenses for selling and general stuff?","['ab', 'ad']"
Could you tell me about the changes in the GDP price index in the United States over the past five years?,['aaa']
Can you tell me how Bank of America's market cap stacks up against its non-operating interest income?,"['h', 'z']"
"Can you tell me which industry had a stronger performance in the previous year, financials or energy?.","['aq', 'aj']"
"How does the S&P Energy Sector stack up against Consumer Confidence, you know, you see?.","['aj', 'aad']"
What's the vibe like with consumer confidence in the United States right now and how does it compare to the GDP growth rate?.,"['aad', 'ax']"
"What company has the ticker symbol KO and like, what's their operating income?","['ae', 'aa']"
What's the damn shareholders' equity for Merck?.,['ah']
How does the news cover Costco in comparison to other companies?,['aaj']
"Yesterday which sector performed better in the S&P 500, information technology or industrials?.","['al', 'as']"
What was the cost of goods sold for Tesla last quarter?.,['m']
How many days does McDonald's keep their inventory?,['v']
Could you tell me more about this BAC company?.,['l']
Can you tell me about General Electric? I am curious to know how many employees they have and what their cost of goods sold was last year..,"['m', 'p']"
Can you tell me what the forward 12-month EPS is for Chevron?.,['s']
"Could you provide me with information about the merger between Company A and Company B? Specifically, I am interested in any news articles that have been published about it..",['aaj']
Are there any rumors or insider information about upcoming mergers and acquisitions?,['aai']
Which company has a higher amount of long term debt compared to the number of days it holds inventory?.,"['v', 'w']"
Can you help me identify the sector index that represents the consumer discretionary sector?.,"['am', 'ar']"
Can you tell me Chevron's EPS for the last 12 months and their total current assets?.,"['t', 'n']"
"Oh God, I am not sure. I mean, I don't know. I am not familiar with Cisco's financials.",['ag']
Is Chevron's earnings per share for the past 12 months higher or lower than their price-earnings ratio?,"['f', 't']"
Can you help me find the trailing twelve month EPS for Walt Disney?.,['t']
Can you tell me what Salesforce's market value is compared to their current assets?,"['n', 'h']"
Do you know what the Federal Reserve's index says about the current level of industrial production in the United States?,"['aq', 'aaf']"
"What's the percentage of like, the net sales of Intel that comes from the cost of goods sold?","['m', 'y']"
"Which news source talks more about Coca-Cola, is it Reuters or BBC?.",['aaj']
Is Home Depot making money from any investments that have nothing to do with their regular business operations?.,['z']
Could you tell me how much long-term debt Home Depot has?,['w']
"Do you know when was the last ex-dividend date for Berkshire Hathaway? And also, do you have any idea what their EBITDA is?.","['b', 'q']"
Could you tell me the market capitalization of Cisco? And could you provide the amount in millions of units of local currency?,['h']
"How much is Visa's overall worth, taking into account their debt and other financial aspects?",['r']
How much are Cisco's liabilities compared to their earnings per share for the past 12 months?,"['ag', 't']"
Can we trust the leading economic index when it comes to predicting future economic activity?.,['aag']
How many employees does Microsoft have and what's the latest stock price?.,"['g', 'p']"
How many days after the ex-dividend date Chevron pays out its long term debt?.,"['b', 'w']"
Do you have any information about the value of the telecommunications sector?,['at']
Can you tell me how many common shares are outstanding and also what is the total amount of current liabilities for Nike?.,"['o', 'k']"
What is the performance of the S&P Health Care Sector?.,['ao']
How many news articles about Apple were published last week?.,['aaj']
"What's the percentage of trailing twelve month EPS for AMD's SG&A, you know?.","['t', 'ad']"
"Is Apple's market value higher or lower than Costco's market value, you know?.",['h']
How does the total return index for Pfizer compare to its 12-month trailing EPS?.,"['t', 'c']"
Can you tell me about the unemployment rate in the real estate industry compared to the overall rate?,"['aab', 'ak']"
What's the deal with Proctor and Gamble's EBITDA versus its lowest price during the day?,"['q', 'd']"
Do you know how much debt Philip Morris has?.,['ag']
What industry does Bank of America operate in?.,['u']
How does that fancy ISM Purchasing Managers Index thingy for the manufacturing sector affect the Consumer Staples Sector Index?.,"['az', 'an']"
Could you tell me the earnings per share for AMD for the past 12 months? And also the cost of goods sold? I would like to know the ratio between the two..,"['m', 't']"
Could you tell me about Chevron's net sales and operating expenses?.,"['y', 'ab']"
How did the sectors of Utilities and Energy do yesterday?.,"['ar', 'aj']"
Can you tell me how much of Apple's current price is used for operating expenses?,"['g', 'ab']"
What was the last article written about Walt Disney?.,['aaj']
When will Bank of America have their next ex-dividend date?.,['b']
What's the name of the company that Johnson & Johnson uses?.,['l']
How has the performance of the S&P 500 Real Estate Sector been compared to the S&P 500 Information Technology Sector in the last 5 years?.,"['ak', 'al']"
Is there a relationship between the S&P General Industry Classification Information Technology Sector Index and the Consumer Confidence Index?.,"['al', 'aad']"
What is the amount of money that Nike owes in total?.,['ag']
What the hell is the S&P 500's P/E ratio?.,['au']
Can you tell me how Tesla's EPS and R&D are related?,"['s', 'ac']"
Does Netflix's net interest income affect how much they spend on goods?.,"['x', 'm']"
Could you tell me the dividend yield for Pfizer compared to its net sales?.,"['y', 'I']"
Could you tell me the difference between Comcast's total interest income and total interest expense?.,['x']
Does Nvidia include their cost of goods sold in their financial statements?.,['m']
Could you help me find out the current stock price and total current liabilities for Exxon Mobil?.,"['o', 'g']"
Could you help me understand the difference between Philip Morris' EBITDA and the lowest stock price of today?.,"['d', 'q']"
Could you provide me with some recent news articles concerning the oil industry?.,['aaj']
Can you tell me about the company with the ticker symbol KO? And do you happen to know what its operating income is?.,"['ae', 'aa']"
Did the Consumer Staples sector did better than the S&P 500 yesterday?,"['an', 'aae']"
Can you tell me the book value per share for Coca-Cola and how it's connected to their cost of goods sold?,"['m', 'j']"
Can you tell me about T-Mobile US's financial performance compared to its market value?.,"['aa', 'h']"
Can you tell me about Johnson & Johnson's revenue in the past year?.,['y']
Any articles about tariffs and how they're affecting the car industry recently?.,['aaj']
How many shares are there for Walmart and what is its value?.,"['k', 'r']"
How does the 10-year US Treasury Government Bond affect the Real Estate industry?.,"['ak', 'aah']"
What's the damn unemployment rate in the US?.,"['aab', 'al']"
"You know which sector had a better day today, Energy or Industrials?.","['aj', 'as']"
What is the ticker for Philip Morris and how much do they make in earnings per share over the next 12 months?,"['ae', 's']"
What is the current information about Pfizer?.,['aaj']
Do you have any updates on AMD news mate?.,['aaj']
What are Walmart's total assets?.,['af']
"In the year 2020, which company was more frequently mentioned in the news, Apple or Tesla?.",['aaj']
Can you tell me the total liabilities of Walt Disney?.,['ag']
Can you tell me about T-Mobile US's share value growth in 2022? Was it a positive experience?.,['c']
What's going on with Apple?.,['aaj']
"Which one, manufacturing or non-manufacturing, had like a bigger increase in their ISM index in January to February?.","['aac', 'az']"
Can you tell me the damn EPS for McDonald's in the next 12 months?.,['s']
What the hell is the difference between the S&P 500 Health Care Sector Index and the S&P 500 Consumer Discretionary Sector Index?.,"['am', 'ao']"
What is the latest news item in the data warehouse? What are the keywords related to it?.,['aaj']
What even are the S&P 500 Consumer Discretionary Sector Index and the S&P 500 Health Care Sector Index?,"['am', 'ao']"
I wonder if there have been any recent news articles mentioning Boeing?.,['aaj']
Can you tell me the latest news on JPMorgan?.,['aaj']
I am curious about Berkshire Hathaway's market capitalization compared to other companies in the same industry. Do you have any information on that?.,['h']
What is the market value of Intuit compared to its total assets?.,"['af', 'h']"
"Can you tell me the legal name of Oracle and how much non-operating interest income the company has, buddy?.","['z', 'l']"
What is the most recent CPI measurement?.,['aw']
What are Philip Morris's ticker and total assets?,"['ae', 'af']"
Can you tell me the number of employees at Chevron as of the most recent dividend payment date?.,"['b', 'p']"
Can you tell me how many shares of AMD are currently available?,['k']
Have you heard anything on social media about a company's recent product launch?.,['aai']
Could you please tell me how Johnson & Johnson's total return index has performed over the specified period?.,['c']
Can you tell me the ratio of employees to trailing earnings for Berkshire Hathaway?,"['p', 't']"
What are T-Mobile US's current assets and how much are they worth?.,['n']
Did Communication Services or Information Technology performe better yesterday?,"['at', 'al']"
"Can you tell me how much time it takes for Adobe to sell its inventory on average? And, just curious, what is the total amount of their current liabilities?.","['v', 'o']"
I'm curious to know about the difference between the GDP price index and the Consumer Price Index (CPI) in the United States. Can you tell me more about it?,"['aaa', 'aae']"
Can you please give me some recent news articles about that specific company?,['aaj']
Can you explain the difference between the total interest income and total interest expense for Comcast?,['x']
What's the latest news about Chevron?,['aaj']
Any recent news articles on how Brexit is affecting the UK economy?,['aaj']
Does Costco's total return index exceed its total assets?.,"['af', 'c']"
"Who do you think did better yesterday, information technology or materials in the S&P sector?","['al', 'ap']"
What the hell does the ISM non-manufacturing survey index have to do with the federal funds rate? .,"['ay', 'aac']"
"What is the income from non-operating interest investments of Cisco, and also, what is their total value of current assets?.","['n', 'z']"
How much of Apple's current price is used for operating expenses?,"['g', 'ab']"
How does the ISM manufacturing index stack up against the performance of the consumer discretionary sector?.,"['az', 'am']"
Which one do you think is a better predictor of future economic activity? The ISM Purchasing Managers Index or the Conference Board Leading Economic Indicators Index? .,"['az', 'aag']"
Can someone just tell me if there are any recent news articles about  these damn tariffs and how they are affecting the automotive industry?,['aaj']
Can you tell me about the performance of the Industrials sector in relation to changes in the USA 10-year Government Benchmark bond yield?,"['as', 'aah']"
Could you help me understand the difference between Philip Morris' EBITDA and its lowest stock price today?.,"['d', 'q']"
What is the total shareholder's equity for Walmart?,['ah']
"Can anyone tell me what AMD's EPS is projected to be for the next 12 months, and also what their non-operating interest income is?.","['z', 's']"
Can you tell me about any recent news or rumors about upcoming Apple products?.,['aai']
"Which sector had a better performance last year, financials or energy?.","['aq', 'aj']"
How much money does Berkshire Hathaway owe compared to the total value of the company?.,"['r', 'o']"
"In 2020, which sector had a stronger performance, Materials or Consumer Staples?.","['ap', 'an']"
Do you happen to know how much Nike spends on operating expenses annually?.,['ab']
Can you tell me what EBITDA stands for and how it affects a company like Costco?.,['q']
Could you tell me the daily trading volume for S&P Energy?.,['aj']
How has Mcdonalds's total return index been doing in the past 5 years?,['c']
Could you tell me about the Consumer Price Index (CPI)? What factors are taken into account when calculating it?,['aw']
Does Merck have a higher dividend yield or net interest income?.,"['I', 'x']"
"Which sector index had a damn higher value, the S&P General Industry Classification Health Care Sector Index or the S&P General Industry Classification Financials Sector Index?.","['ao', 'aq']"
"Could you tell me about Home Depot's financial standing? Specifically, what are their current liabilities as of the most recent ex-dividend date?.","['b', 'o']"
Have you heard any juicy rumors or speculations about a possible market crash or economic downturn?.,['aai']
Can you tell me the dividend yield of Intuit as a percentage of its total assets?,"['af', 'I']"
"Can you tell me about Merck's financial performance? Specifically, how does their EBITDA compare to their net income?",['q']
How the hell does Cisco come up with their EBITDA figure? What the heck is their calculation method?.,['q']
Can you tell me the net sales or revenues per common share outstanding for Philip Morris?.,"['y', 'k']"
What are people are saying about Apple on Twitter?,['aai']
Is there even a damn correlation between the leading economic index and inflation?.,"['aae', 'aag']"
What was the deal with the telecommunications sector? What kinda money was it bringin' in?,['at']
Any juicy gossip or chatter online about a company's financial performance or what they might have in store for the future?,['aai']
Can you tell me what the total liabilities are for Walt Disney?.,['ag']
What is the deal with Home Depot's dividend yield and P/E ratio? Which one is better?.,"['f', 'I']"
Could you tell me what the correlation is between the leading economic index and inflation?.,"['aae', 'aag']"
Do you have any recent articles on how Brexit is affecting the UK economy?.,['aaj']
Can you tell me about JPMorgan Chase's inventory turnover in comparison to its net sales or revenues?.,"['y', 'v']"
Could you tell me about Exxon Mobil's total operating expenses?,['ab']
Could you tell me about the GDP price index and the Consumer Price Index (CPI) in the United States?,"['aaa', 'aae']"
Could you tell me about Tesla's EBITDA?,['q']
What is the current value of the S&P 500 Composite?,['au']
What was the latest news about inflation again?.,['aaj']
Is Chevron spending a lot on R&D compared to its current stock price?,"['g', 'ac']"
Could you tell me about the total liabilities of Comcast?.,"['ag', 'l']"
Any news recently reported about JPMorgan Chase?,['aaj']
How much higher is the S&P General Industry Classification Communications Services Sector Index compared to the federal funds rate?.,"['at', 'ay']"
Can you give me some information about a particular company? Maybe some articles? .,['aaj']
Can you tell me about the recent news regarding PepsiCo? What was the overall sentiment surrounding the company in the past week?,['aaj']
What's the current state of the economy with the USA 10-year Government Benchmark bond yield and the total index of industrial production as indicators?,"['aah', 'aaf']"
How does the performance of the Consumer Discretionary sector in the US relate to the overall GDP?.,"['am', 'ax']"
How much money does Boeing make?.,['y']
Can you tell me the expected earnings per share for Walt Disney over the next 12 months?,['s']
"Does Mcdonalds have expenses that aren't related to their operations, and do they also make money from interest?.","['z', 'ab']"
Does Tesla's inventory days held even impact their enterprise value?.,"['v', 'r']"
Can you tell me the recent news about Johnson & Johnson?,['aaj']
Could you please tell me the total liabilities of Oracle?.,['ag']
What's the latest news on industrial production?.,"['aaf', 'aaj']"
How does unemployment rate impact inflation?.,"['aab', 'aw']"
"In regards to inventory management, how does Microsoft's efficiency compare to its overall assets?.","['af', 'v']"
"Which sector has not performed well, Industrials or Information Technology?.","['as', 'al']"
Have you heard any recent updates about Amazon?,['aaj']
Could you tell me how much money Bank of America has spent on their operations?.,['ab']
What's the current liabilities of Home Depot on the most recent ex-dividend date?,"['b', 'o']"
Could you tell me what the peak stock price was for IBM today?.,['e']
Could you tell me what the current value of Bitcoin is?.,['aai']
I am curious about Microsoft and its inventory management. How does it compare to the total assets?,"['af', 'v']"
"According to the Bureau of Labor Statistics, what is the current unemployment rate in the United States?.",['aab']
